,Address,description,detail,Lat,Lng,Name,Avgscore,Total_review
22,"417 5th Ave, New York City, NY 10016-2204","Saturday Night Live ‰ÛÓ The Exhibition tells the story of the late night comedy sensation and pop cultural phenomenon that re-branded and transformed American television. The exhibition takes visitors through the show‰Ûªs tight weekly schedule and its 40-year history. Get a behind the scenes glimpse and meet SNL‰Ûªs key players, past and present, through a mix of artifacts, theatrical scenic elements.    ",Recommended length of visit: 1-2 hours,40.750896,-73.98226,Saturday Night Live - The Exhibition,4.5,175
23,"1109 Fifth Avenue, New York City, NY 10128",The Jewish Museum of New York offers acclaimed art exhibitions that explore art and culture from ancient to modern times. The Museum is located on New York's famed Museum Mile.    ,Recommended length of visit: More than 3 hours   Fee: Yes,40.78522,-73.95723,The Jewish Museum,4.5,287
24,"1220 Fifth Avenue, at 103rd Street, New York City, NY 10029","The Museum of the City of New York celebrates and interprets the city, educating the public about its distinctive character, especially its heritage of diversity, opportunity, and perpetual transformation. Founded in 1923 as a private, nonprofit corporation, the Museum connects the past, present, and future of New York City. It serves the people of New York and visitors from around the world through exhibitions, school and public programs, publications, and collections. Currently Under Construction: ""New York at its Core"" a landmark three gallery exhibition covering NYC's 400+ year history. Coming this November!    ",-999,40.792496,-73.951904,Museum of the City of New York,4,606
25,"Fulton & South Streets, Pier 17, New York City, NY 10038",The shops and restaurants and historic ambiance have made this renovated port one of Manhattan's most visited spots.    ,Recommended length of visit: 1-2 hours   Fee: No,40.707138,-74.00217,South Street Seaport,4,731
26,"945 Madison Avenue, at 75th Street, New York City, NY 10021","The Met Breuer presents Modern and contemporary art through the lens of history. The Met presents over 5,000 years of art from every corner of the world for everyone to experience and enjoy. The Museum lives in three iconic sites in New York City - The Met Fifth Avenue, The Met Breuer and The Met Cloisters. Full suggested admission: $25/adults, $17/seniors, $12/student    ",Recommended length of visit: 1-2 hours,40.772686,-73.963486,The Met Breuer,4.5,106
27,"170 Central Park West, at Richard Gilder Way (77th Street), New York City, NY 10024","A trip to New York wouldn't be complete without a visit to the New-York Historical Society with its four centuries of history and art - plus the only Children's History Museum in the area. It hits the spot for anyone craving an offbeat (and often surprising) bite of the city's culture easily digested in an hour or two. Quirky, smart, immersive and across the street from beautiful Central Park, it offers a rich taste of the city.The New-York Historical Society boasts a hip new vibe.You know the city - now hear the stories. Witness New York's rise from remote outpost to city at the center of the world in our 18-minute panoramic film experience, New York Story, in surround-sound on a 75-foot screen. Then travel through time in visionary exhibitions and an entire floor of children's galleries that show why this city has always captivated hearts and minds.""We were absolutely blown away by the film which manages to convey more about New York and its history than one could imagine ever being crammed into 18 minutes."" - CL, New York NYHistory will break free from the textbooks and jump into your life!SUMMER 2015""The Art of Al Hirschfeld"" (May 22 - October 12, 2015)""Picasso's Le Tricorne"" (May 29 - Ongoing)""Art as Activism"" (June 26 - September 13, 2015)""Freedom Journey 1965: Photographs of the Selma to Montgomery March by Stephen Somerstein"" (Through October 25, 2015)Hungry for more? Experience the casual elegance of Caffe Storico which offers tasty Italian fare, then explore the Museum Store for unique New York City gifts and exhibition-related merchandise.    ",Recommended length of visit: 1-2 hours,40.779305,-73.97427,New-York Historical Society Museum & Library,4,498
28,"29 E 4th St, New York City, NY 10003-7003","The Merchant's House Museum is New York City's only 19th century home preserved intact, with original family furnishings and personal belongings.A unique survivor of Old New York, the House offers a rare and intimate glimpse of how a prosperous merchant family and their Irish servants lived from 1835 to 1865, when New York grew from seaport to thriving metropolis.""The distinction of the Merchant's House -- and it is a powerful one -- is that it is the real thing. One simply walks through the beautiful doorway into another time and place in New York.""The New York Times    ",Recommended length of visit: 1-2 hours,40.727444,-73.99177,Merchant's House Museum,4.5,173
29,"226 West 44th St, New York City, NY 10036","Welcome to Discovery Times Square (Discovery TS) where extraordinary exhibits and unforgettable experiences come to life in our exciting, vibrant space for entertainment, learning and adventure.New York has always been something of a stage - a showcase for debuts and second acts. And so it is fitting that in the vast space that once housed The New York Times printing presses, Discovery Times Square now offers headlines of a different, but equally compelling sort.From the icy waters of the Titanic's final resting place to genius mind of Da Vinci and the riches of King Tut, Discovery is proud to celebrate the world with the world class exhibits of the new Discovery Times Square.Discovery TS also features two exclusive retail experiences ‰ÛÓ The Discovery Store featuring the latest in games, dvds and other products from the #1 nonfiction company in the world, Discovery Channel, and The New York Times Store with a wide range of exclusive items perfect for the newspaper enthusiast or history buff.    ",-999,40.757607,-73.987305,Discovery Times Square,3.5,829
30,"Central Park West and 79th Street, American Museum of Natural History, New York City, NY 10024",No need to settle for just looking at the stars - this $210 million planetarium is a virtual joyride through the universe.    ,-999,40.781166,-73.97352,Hayden Planetarium,4.5,316
31,"2 Columbus Circle, New York City, NY 10019",-999,-999,40.767403,-73.98198,Museum of Arts and Design,4,305
32,"234 West 42nd Street, New York City, NY 10036","Located in the heart of New York City, Ripley's Believe It or Not! Times Square brings people of all ages face-to-face with the world's most unbelievable curiosities. With more than 500 hundred rare artifacts, astonishing relics, and thrilling interactive exhibits, this one-of-kind attraction welcomes visitors to experience the unusual and unexpected. Only in Ripley's New York will families rediscover wonder around every corner.Featuring countless original pieces and galleries, including the new ""Little Apple"" room and Manhattan's only Laser Race, as well as ""Believe It or Not"" special events year-round, Ripley's Times Square offers guests unforgettable experiences that can only be found in New York. The museum also hosts a variety of options for groups including field trips, birthday parties, and scouting expeditions.    ",-999,40.75678,-73.98843,Ripley's Believe It or Not - Times Square,3.5,776
33,"Seventh Avenue at 27th Street, New York City, NY 10001",-999,-999,40.746704,-73.99391,The Museum at FIT,4.5,138
34,"226 W 44th St, New York City, NY 10036-3906",-999,Recommended length of visit: 1-2 hours,40.757957,-73.987236,Body World,4.5,145
35,"278 Spring Street, New York City, NY 10013","The New York City Fire Museum is the official museum of the FDNY.Occupying a renovated 1904 Beaux‰ÛêArts firehouse at 278 Spring Street in Hudson Square, west of SoHo, the museum is home to a renowned collection of fire‰Ûêrelated art and artifacts from the 18th century to the present; including hand‰Ûêpumped fire engines, horse‰Ûêdrawn vehicles, early motorized apparatus and firefighting tools and equipment.    ",-999,40.725567,-74.006935,New York City Fire Museum,4.5,158
36,"97 Orchard St, New York City, NY 10002-3102",-999,Recommended length of visit: 1-2 hours,40.718536,-73.99027,Lower East Side Tenement Museum,4.5,49
37,"10 Columbus Cir, New York City, NY 10019-1158",-999,-999,40.767815,-73.982124,Time Warner Center,4,212
38,"613 West 155th St, at Broadway, New York City, NY 10032-7501","Museum filled with paintings by El Greco and Velazquez, as well as many other Hispanic cultural artifacts.    ",-999,40.833588,-73.94579,Hispanic Society of America,4.5,90
39,"54 Pearl St, New York City, NY 10004-4300",-999,-999,40.703434,-74.01129,Fraunces Tavern Museum,4.5,122
40,"44 Maiden Lane, New York City, NY 10045","You can tour the trading rooms, the museum and the Fed's vault, which holds 900 tons of gold.    ",-999,40.708668,-74.009,Federal Reserve Bank of New York,4,200
41,"11 E 26th St, New York City, NY 10010-1402",-999,Recommended length of visit: 2-3 hours,40.74333,-73.98754,National Museum of Mathematics,3.5,210
42,"28 East 20th Street, between Broadway and Park Avenue South, New York City, NY 10003","This park site is closed to the public as of May 1, 2015 to allow for renovation and accessibility improvements. Once begun, the project will take approximately nine months. The site is scheduled to reopen in 2016. The boyhood home (1858-1872) of the only United States President born in New York City. The site includes galleries and 1865 period rooms that relate the story of young Teddy Roosevelt, his ranch days, presidency and exploration period.    ",-999,40.738857,-73.98917,Theodore Roosevelt Birthplace National Historic Site,4.5,107
43,"80 Saint Marks Pl, New York City, NY 10003-8194","Located in a former speakeasy, the Gangster Museum's goal is to objectively present the role that crime has played in shaping the politics, culture, myth and lore of New York City -- and beyond.    ",-999,40.72765,-73.98573,Museum of the American Gangster,4,71
44,"212 W. 83d St., New York City, NY 10024",Description: A kid-friendly museum with many interactive activities.,Recommended length of visit: More than 3 hours   Fee: Yes,40.78579,-73.97709,Children's Museum of Manhattan,4,175
45,"48 Wall Street, Ok, New York City, NY 10005 (Formerly Museum of American Financial History)",-999,-999,40.706345,-74.009346,Museum of American Finance,4,111
46,"235 Bowery, New York City, NY 10002","Focusing on experimental ideas and exhibits portraying the development of emerging artists, this unique museum's collection includes unusual, abstract art from around the world.    ",-999,40.72234,-73.99289,New Museum,3.5,198
47,"215 Centre Street, New York City, NY 10013","Founded in 1980, the Museum of Chinese in America (MOCA) is dedicated to preserving and presenting the history, heritage, culture and diverse experiences of people of Chinese descent in the United States. The greatly expanded MOCA at 215 Centre Street is a national home for the precious narratives of diverse Chinese American communities, and strives to be a model among interactive museums.    ",-999,40.71956,-73.9988,Museum of Chinese in America,4,71
48,"65 Jumel Terrace, Washington Heights, New York City, NY 10032","Manhattan's oldest house, somewhat of an aberration in the modern neighborhood of Washington Heights, served as a command post for George Washington.    ",-999,40.834473,-73.93858,Morris-Jumel Mansion,4,62
49,"2 Lincoln Square, Columbus Avenue between 65th and 66th Streets, New York City, NY 10023","The American Folk Art Museum is the premier institution devoted to the aesthetic appreciation of traditional folk art and creative expressions of contemporary self-taught artists from the United States and abroad. The museum preserves, conserves, and interprets a comprehensive collection of the highest quality, with objects dating from the eighteenth century to the present.    ",Recommended length of visit: <1 hour,40.773296,-73.98151,American Folk Art Museum,4,129
50,"128 East 63rd Street, New York City, NY 10021","The mission of this museum is to promote and stimulate interest in the art of illustration by showcasing more than 1,500 works by such luminaries as Norman Rockwell, N.C. Wyeth, Rockwell Kent, Bernie Fuchs and Brad Holland.    ",-999,40.76472,-73.9669,Society of Illustrators,4.5,34
51,"American Museum of Natural History, New York City, NY 10024",A dizzying virtual tour of the universe (from the comfort of your seat) is just one of the exhibits at the Rose.    ,-999,40.780766,-73.97268,Rose Center for Earth and Space,4.5,66
52,"421 7th Ave Fl 3, New York City, NY 10001-2002",-999,Recommended length of visit: 1-2 hours,40.750343,-73.99068,Houdini Museum of New York at Fantasma Magic,4.5,35
53,"39 Battery Place, (at Nassau St.), New York City, NY 10280","Wall Street was the building ground for early skyscrapers, and this museum is dedicated to studying and enjoying them.    ",-999,40.70654,-74.01675,Skyscraper Museum,3.5,121
54,"250 Bowery, New York City, NY 10012-3010","The International Center of Photography (ICP) is the world's leading institution dedicated to photography and visual culture. Through our exhibitions, school, public programs, and community outreach, we offer an open forum for dialogue about the role images play in our culture. Since our founding, we have presented more than 700 exhibitions and offered thousands of classes, providing instruction at every level. ICP is a center where photographers and artists, students, and scholars can create and interpret the world of the image.    ",-999,40.755493,-73.98366,International Center of Photography Museum,4,153
55,"103 Charlton Street, New York City, NY 10014","Lots of interactive workshops for kids, from puppet-making to storytelling by the ""Brothers Grin.""     ",-999,40.727615,-74.008156,Children's Museum of the Arts,4.5,40
56,"144 W 125th St, New York City, NY 10027-4423",Museum that focuses on historical and contemporary works of African-American artists.    ,-999,40.808434,-73.947655,The Studio Museum in Harlem,4,45
57,"319 W 107th St., New York City, NY 10025","The major center for the exhibition of paintings by Nicholas Roerich, a Russian-born artist who increased appreciation of the value of the cultural heritage of all nations.    ",-999,40.802845,-73.969215,Nicholas Roerich Museum,4.5,26
58,"725 Park Avenue (at 70th Street), New York City, NY 10021","Asia Society Museum organizes groundbreaking exhibitions of both traditional and contemporary Asian and Asian American art. The Museum is known for its Mr. and Mrs. John D. Rockefeller Collection of masterpiece-quality traditional Asian works, and for its cutting-edge Contemporary Art Collection of videos and new media art by Asian and Asian American artists. A recognized leader in identifying and fostering contemporary Asian and Asian American artists, Asia Society Museum was one of the first American museums to establish a program of contemporary Asian art in the early 1990s.    ",-999,40.769756,-73.96468,Asia Society and Museum,4,41
59,"226 W 44th St, New York City, NY 10036-3906",-999,Recommended length of visit: 1-2 hours,40.75774,-73.98727,The Hunger Games Exhibition,4.5,24
60,"421 E 61st St, New York City, NY 10065-8736","Constructed in 1799 as a carriage house and converted into a day hotel in 1826, the Museum transports visitors back to a 19th-century country resort for New Yorkers escaping the crowded city below 14th Street. Enjoy a guided tour of eight period rooms, browse in the gift shop, and linger in the secret garden.    ",-999,40.760406,-73.95993,Mount Vernon Hotel Museum & Garden,4.5,31
61,"1230 Fifth Ave. at 104th Street, New York City, NY 10029","Art museum displaying works of different artists from Puerto Rico, Mexico, the Caribbean, and Central and South America.    ",-999,40.79298,-73.95206,El Museo del Barrio,3.5,51
62,"12 Fulton St, New York City, NY 10038-2109",Maritime museum that recreates a seaport in the 19th century with cobblestone streets and historic ships of the era.    ,-999,40.70543,-74.002884,South Street Seaport Museum,4,50
63,"417 5th Ave, New York City, NY 10016-2204","The Discovery of KING TUT recreates the awe and marvel of the moment of discovery enter an overwhelming treasure trove, discover new worlds and new wonders.    ",Recommended length of visit: 1-2 hours,40.750534,-73.98264,The Discovery of King Tut,4.5,18
64,"1083 5th Ave, New York City, NY 10128",-999,-999,40.78361,-73.95848,National Academy of Design Museum,4.5,22
65,"790 7th Avenue, corner 52nd Street, Sheraton Manhattan Hotel, New York City, NY",-999,-999,40.76191,-73.98286,An American Craftsman,4,29
66,"1865 Broadway, New York City, NY 10023",-999,-999,40.77026,-73.98274,Museum of Biblical Art,4,29
67,"44 Park Pl, New York City, NY 10007-2500",-999,-999,40.713192,-74.00947,The Anne Frank Center USA,4.5,17
68,"25 W 52nd Street, New York City, NY 10019","Visitors can select from more than 50,000 radio and television program tapes to listen or watch at one of this museum's 96 radio and television consoles.    ",-999,40.760605,-73.9776,Paley Center for Media,3.5,48
69,"26 Wooster St, New York City, NY 10013-2227",-999,-999,40.72163,-74.00303,Leslie-Lohman Museum of Gay and Lesbian Art,4,17
70,"233 Fifth Ave, New York City, NY 10016","The mission of the Museum of Sex is to preserve and present the history, evolution and cultural significance of human sexuality. The museum produces exhibitions, publications and programs that bring the best of current scholarship on sex and sexuality to the widest possible audiences and is committed to encouraging public enlightenment, discourse and engagement.    ",Recommended length of visit: 1-2 hours,40.744038,-73.98749,Museum of Sex,2.5,718
71,"15 E 84th St, New York City, NY 10028-0458","Just steps away from the Metropolitan Museum of Art, ISAW is a center for scholarly research and graduate education that offers free exhibitions and public programming about its investigations of the ancient world from the western Mediterranean to China.Photo from The Lost World of Old Europe: The Danube Valley, 5000-3500:Female Figurine, Cucuteni, 4050-3900 BCPhoto: Marius Amarie    ",-999,40.78002,-73.96019,Institute for the Study of the Ancient World,5,15
72,"555 W. 24th St., New York City, NY",-999,-999,40.74943,-74.00596,Gagosian Gallery,4.5,20
73,"15 Gramercy Park South, New York City, NY 10003",-999,-999,40.736614,-73.985275,The National Arts Club,5,12
74,"530 W 25th Street, New York City, NY",-999,-999,40.74935,-74.00469,Agora Gallery,4.5,15
75,"333 E 47th St, Btw. 1st and 2nd Aves, New York City, NY","American institution promotes understanding and relations between the United States and Japan through exhibits of traditional and contemporary Japanese art, films, performing arts, topical lectures and cultural exchange programs.    ",-999,40.752556,-73.96825,Japan Society,4.5,19
76,"1334 York Ave, New York City, NY 10021",".   Sotheby's New York features six floors of newly renovated gallery space. Exhibitions change frequently, depending upon upcoming auctions. For the most up-to-date exhibition schedules, please refer to the Sotheby's website. A branch of the Sant Ambroeus cafÌ© is located on the 10th floor adjacent to the roof deck and is open daily. Sotheby's Diamonds also has a Salon in the building, which may be visited by appointment. Sotheby's galleries are open to the public and free to visit.    ",-999,40.766293,-73.953545,Sotheby's,4.5,15
77,"58 Park Ave, New York City, NY 10016-3007",-999,-999,40.749443,-73.97996,Scandinavia House,4,15
78,"222 East 6th Street, (Between 2nd and 3rd Avenues), New York City, NY 10003",-999,-999,40.72767,-73.98976,Ukrainian Museum,4,13
79,"89 E 42nd Street, Grand Central Terminal, New York City, NY 10017",-999,Recommended length of visit: <1 hour,40.75242,-73.977936,New York Transit Museum,4.5,10
80,"50 Mott St, New York City, NY 10013-5023",-999,Recommended length of visit: <1 hour,40.715416,-73.99841,Yunhong Chopsticks,5,7
81,"226 E 42nd St, New York City, NY 10017-5806",-999,-999,40.749874,-73.97283,Museum of Tolerance,4.5,16
82,"155 Mulberry St, New York City, NY 10013-4721",-999,-999,40.71926,-73.99753,Italian American Museum,4,9
83,"15 W. 16th St, New York City, NY 10011",-999,-999,40.738003,-73.99372,Center for Jewish History,4.5,11
84,"645 5th Ave, New York City, NY 10022-5910",-999,-999,40.759308,-73.97631,Onassis Cultural Center,5,7
85,"525 West 19th Street, New York City, NY 10011",Description: Cutting-edge art gallery.,-999,40.7458,-74.00704,David Zwirner Gallery,4.5,8
86,"519 W. 24th St., New York City, NY",Contemporary art gallery known for presenting highly unusual and challenging artwork and photography.    ,-999,40.748917,-74.00457,Metro Pictures,4,10
87,"101 Spring St, New York City, NY 10012-3903",-999,-999,40.723507,-73.99936,Judd Foundation,4.5,8
88,"18 W 86th St, New York City, NY 10024-3602",-999,-999,40.78551,-73.970604,The Bard Graduate Center,4.5,7
89,"55 Murray St, New York City, NY 10007",LIVE. At Tribeca Art,-999,40.714394,-74.00956,Tribeca Art Factory,5,5
90,"Murly Square, Greenwich Avenue W 11th, New York City, NY",-999,-999,40.73654,-74.0011,Tiles For America,5,8
