,address,description,detail,lat,lng,name,rating,total_review
10,"1 World Trade Center, One World Trade Center, New York City, NY 10007-0089","Start at the top of the tallest building in the Western Hemisphere, where you can truly feel the city's invincible spirit. SEE FOREVER‰ã¢.    ",Recommended length of visit: 1-2 hours,40.71324,-74.0132,One World Observatory - World Trade Center,4.5,12409
11,"460 Madison Avenue, New York City, NY 10022","Enormous 13th-century-style Gothic church on Madison Avenue, with a seating capacity of 2,200, rose window reaching 26 feet across, pipe organ with more than 7,380 pipes and the graceful twin spires that reach 330 feet into the sky.    ",-999,40.758778,-73.97694,St. Patrick's Cathedral,4.5,7252
12,"1260 6th Avenue (Avenue of the Americas), Between 50th and 51st Streets, New York City, NY 10020",Description: Tours run daily starting at 9:30 AM,Recommended length of visit: 2-3 hours,40.76,-73.98033,Radio City Music Hall,4.5,5976
13,"45 Rockefeller Plaza, New York City, NY 10111-0100","Rockefeller Center is a national historic landmark in the heart of Midtown Manhattan. Home to Top of the Rock Observation Deck, NBC Studios, Radio City Music Hall and much more. Shop, dine and explore at one of New York's most inspiring locations.    ",Recommended length of visit: 1-2 hours   Fee: No,40.758736,-73.978676,Rockefeller Center,4.5,14998
14,"99 Margaret Corbin Drive, Fort Tryon Park, New York City, NY 10040","Branch of the Metropolitan Museum of Art that was constructed out of sections of French medieval monasteries, offers an extensive collection of statues, paintings, stained glass windows and tapestries.    ",Recommended length of visit: More than 3 hours   Fee: Yes,40.864834,-73.932014,The Met Cloisters,4.5,3969
15,"4 Penn Plaza, New York City, NY 10121-0078",Description: Tours run daily beginning at 9:30 AM.,-999,40.750504,-73.99344,Madison Square Garden,4.5,6043
16,"Broadway, New York City, NY 10036","Central area in NYC that has many shops, restaurants, office buildings and flashing billboards around it.    ",Recommended length of visit: 1-2 hours,40.75889,-73.98512,Times Square,4.5,28260
17,"New York City, NY",Famous street offering some of the most expensive and fashionable shops in the city.    ,-999,40.756104,-73.98245,Fifth Avenue,4.5,5740
18,"14th Street and West of Broadway, New York City, NY","Like a small town within Manhattan, the Village has narrow tree-lined streets and brick townhouses.    ",-999,40.73028,-73.99819,Greenwich Village,4.5,2658
19,"Broadway at 60th St, Frederick P. Rose Hall, New York City, NY 10019","A performing arts and learning center devoted to jazz performance, education, and presentation. Whatever concert you choose, we promise you'll leave feelin' good! Traveling with a group? Jazz at Lincoln Center's group sales office will coordinate your ticket request and help facilitate a timeless experience for your guests. Groups of 15 or more have access to priority seating, personalized event consultations, special discounts on select shows, backstage tours, and more.    ",-999,40.76812,-73.98225,Jazz at Lincoln Center,4.5,623
20,"225 Madison Avenue at 36th Street, New York City, NY 10016","Just a short walk from Grand Central and Penn Station, the Morgan is a major exhibition venue for fine art, literature, and music, one of New York's great historic sites, and a wonderful place to dine, shop, and attend a concert or film.    ",Recommended length of visit: 1-2 hours,40.748928,-73.9813,The Morgan Library & Museum,4.5,1188
21,"209 Broadway, b/t Fulton Street & Vesey Street, New York City, NY 10022",".   The chapel is closed for restoration until work is completed in the fall. The churchyard will remain open. St. Paul's Chapel is part of Trinity Wall Street, an Episcopal parish that has been a part of New York City since 1697. The parish is deeply rooted in the city‰Ûªs and the nation‰Ûªs history. Established during the British occupation of New York and recognized by royal charter, Trinity was the first Anglican Church (which followed the services of the Church of England and included the King or Queen in its prayers) in Manhattan.åÊ St. Paul's Chapel was founded in 1766 as a chapel-of-ease at Broadway and Fulton Street. George Washington prayed there after his inauguration as President in 1789. Located just across the street from the World Trade Center, St. Paul‰Ûªs played an important role in hosting recovery workers after the attacks of September 11, 2001.    ",Recommended length of visit: <1 hour,40.711773,-74.00939,St. Paul's Chapel,4.5,2955
22,"New York City, NY",-999,-999,40.73469,-74.00541,West Village,4.5,1088
23,"South of Houston Street, New York City, NY","Description: Fashionable neighborhood with boutiques, art and restaurants.",-999,40.724037,-73.99788,SoHo,4.5,2835
24,"New York Harbor, New York City, NY 10017",Visitors can retrace the steps of their ancestors at this famous landing point that welcomed millions of immigrants to the United States.    ,-999,40.6989,-74.03972,Ellis Island,4.5,4309
25,"West 4th Street, Greenwich Village, New York City, NY 10001","A 9.75-acre city park in Greenwich Village, characterized by its large, central fountain, and known as a major center of community activity for the neighborhood residents.    ",-999,40.730846,-73.99752,Washington Square Park,4.5,2287
26,"385 So. End Avenue, St. Joseph‰Ûªs Chapel, New York City, NY 10280",-999,-999,40.711628,-74.01661,St Joseph's Chapel Catholic Memorial at Ground Zero,4.5,547
27,"405 Lexington and 42nd St., New York City, NY 10174",This Art Deco masterpiece is actually no longer the property of the auto manufacturer.    ,-999,40.75162,-73.9755,Chrysler Building,4.5,2075
28,"1047 Amsterdam Ave., New York City, NY 10025","Description: This cathedral, the world's largest, is entirely hand-crafted.",Recommended length of visit: <1 hour,40.8039,-73.96301,Cathedral Church of Saint John the Divine,4.5,1072
29,"New York City, NY",-999,-999,40.723007,-74.00063,Lower Manhattan,4.5,644
30,"175 Fifth Ave., At 23rd St., New York City, NY 10010","This Daniel Burnham design got its moniker because, as you might guess, it resembles an iron.    ",-999,40.741055,-73.98971,Flatiron Building,4.5,2081
31,"New York Harbor, Ferry Terminal, New York City, NY 10004","This former Dutch governor's estate, former military fort and former Coast Guard command post now enjoys its old age as a historic monument where you can take the occasional tour.     ",Recommended length of visit: More than 3 hours   Fee: No,40.68889,-74.01849,Governors Island National Monument,4.5,568
32,"South Street and FDR Drive, New York City, NY 10002",Description: This major bridge opened in 1909 linking Brooklyn and Manhattan.,-999,40.70762,-73.99089,Manhattan Bridge,4.5,786
33,"Columbus and Amsterdam Ave., between 63rd and 85th Streets, New York City, NY","Description: Trendy area with cafes, restaurants and fashionable shops.",-999,40.78728,-73.97568,Upper West Side,4.5,607
34,"89 Broadway, New York City, NY 10006","Worship Service Times at Trinity ChurchSundays at 9am: Holy Eucharist Sundays at 11:15am: Holy EucharistWeekdays at 12:05: Holy EucharistFind a full schedule of worship services here.About Trinity ChurchTrinity Church, located at Broadway and Wall Street, is an active Episcopal church with a deep history. In 1697, a little over 70 years after the Dutch settled New York as a trading post known as New Amsterdam, Trinity Church was granted a charter by King William III of England. Since then, Trinity has been an integral part of New York City. Today, Trinity Church and St. Paul‰Ûªs Chapel (just a few blocks north) are the cornerstones of Trinity Church Wall Street, a growing and vibrant Episcopal community.Worship services are offered in Trinity Church throughout the week, including morning and evening prayer and a noonday Eucharist every weekday. On Sunday, the Trinity community gathers for Holy Eucharist at 9am and 11:15am, which is webcast live. All are invited to attend. Music by Trinity‰Ûªs renowned choir is integrated into many of the services and free concerts are held throughout the fall and spring. Find a calendar of worship services, concerts, and other events here.The steeple‰Ûªs 12 change-ringing bells are the only set in the United States; they rotate a full 360 degrees, producing a shimmering, cascading sound in a complex combination of changing tonal patterns. They can be heard on Sundays and special occasions.The present building is the third on the site, consecrated in 1846 and designed by British-born architect Richard Upjohn in the 19th century Gothic Revival style. The first church was lost in New York‰Ûªs Great Fire of 1776 and the second was demolished in 1839, at Upjohn‰Ûªs suggestion, after heavy snowfall revealed structural problems. The current building is a registered National Historic Landmark.Visitors to the church can view the decorative bronze doors at the Broadway entrance; see some of the oldest stained glass in the United States; or stop for a moment to pray in the nave or All Saint‰Ûªs Chapel, located in the northwest corner of the church. Trinity‰Ûªs churchyard is also open to visitors who wish to see the gravesite of Alexander Hamilton and other historical memorials and monuments, or enjoy a moment of quiet in the midst of busy Lower Manhattan.Free guided tours are offered Monday-Friday at 2pm and Sundays after the 11:15am service. Trinity‰Ûªs Tour app also provides a virtual guide through Trinity and St. Paul‰Ûªs Chapel. Free Visitors Guides in five languages are also available in the Church Gift Shop.Visit Trinity ChurchOpen daily 8am ‰ÛÒ 6pmWorship M-F at 8:15am, 12:05pm, 5:15pm; Sun at 9am, 11:15amTours M-F at 2pm; Sun after the 11:15am serviceTrinity ChurchyardDaily 8am ‰ÛÒ Sunset    ",Recommended length of visit: 1-2 hours,40.70806,-74.012184,Trinity Church,4.5,908
35,"89 E 42nd St, Grand Central Terminal, New York City, NY 10017-5503","**Please note: All vendors have separate cash registers.** One market, unlimited options. Shop Grand Central Market for the finest and freshest ingredients for everyday meals and special occasions. Grand Central Market Vendors: Ceriello Fine Foods Dishes at Home Eli Zabar's Bread & Pastry Eli Zabar's Farm to Table Li-Lac Chocolates Murray's Cheese Oren's Daily Roast Pescatore Seafood Spices and Tease Wild Edibles Zaro's Family Bakery The Grand Central Market is closed on major holidays.    ",-999,40.75242,-73.97609,Grand Central Market,4.5,350
36,"1 West 53rd St, New York City, NY 10019","Built in 1913, this impressive church contains statues of more than 40 saints and bishops.    ",Recommended length of visit: <1 hour,40.760597,-73.976364,St. Thomas Church,4.5,323
37,"World Trade Center, New York City, NY 10003",-999,Recommended length of visit: <1 hour,40.711735,-74.011444,The Oculus,4.5,166
38,"Midpark at 72nd St. Transverse, Central Park, New York City, NY",-999,-999,40.77386,-73.97163,Bethesda Fountain,4.5,476
39,"116th Street, New York City, NY 10027",Description: Find this Ivy League university on the Upper West Side.,-999,40.80747,-73.96236,Columbia University,4.5,388
40,"233 Broadway, New York City, NY 10007",Description: F. W. Woolworth funded this elaborate design on his own dime - and nickel.   F. W. Woolworth funded this elaborate design on his own dime - and nickel.    ,-999,40.71239,-74.0068,Woolworth Building,4.5,344
41,"West of Eighth Avenue, New York City, NY 10014","Located on the outskirts of the West Village, this area is becoming more upscale and gentrified.    ",-999,40.740986,-74.007614,Meatpacking District,4.5,528
42,"14th-17th Street, (Broadway and Park), New York City, NY 10001","Union Square has a year-round greenmarket, where you can sample goods from local farmers. It also has several playgrounds, a lively holiday market, and benches where you can watch a slice of New York go by.    ",Recommended length of visit: More than 3 hours   Fee: No,40.735935,-73.99035,Union Square,4,1024
43,"230 Vesey St, New York City, NY 10281",-999,-999,40.713364,-74.01609,Brookfield Place - World Financial Center,4.5,271
44,"New York City, NY","Trendy New York City neighborhood, especially popular with the gay community.    ",-999,40.74473,-73.995186,Chelsea,4.5,383
45,"W. Park Dr. and W. 72nd St., Central Park, New York City, NY",-999,-999,40.775677,-73.97531,"Strawberry Fields, John Lennon Memorial",4,1277
46,"Between 23rd and 26 streets, and Madison and Fifth Avenues, New York City, NY","Originally a residential area, this square has become one of the more important in New York history. It has become a prime location for many businesses and major buildings.    ",-999,40.742176,-73.98807,Madison Square Park,4.5,388
47,"405 East 42nd Street, 1st Avenue, New York City, NY 10017","Visitors can learn about the UN's peacekeeping and humanitarian efforts by touring the complex, even when it is in session. Important notice: Because of the new public access regulations and limitations starting June 2013, please also note that tour tickets will NOT be sold on premises and a guided tour ticket for visitors is required to enter the UN Headquarters.    ",-999,40.75055,-73.968414,United Nations Headquarters,4,1168
48,"Central Park, New York City, NY","Located in Central Park, this statue usually has children climbing all over it.    ",-999,40.77498,-73.96668,Alice in Wonderland Statue,4.5,373
49,"Manhattan, New York City, NY",-999,-999,40.757168,-73.97483,Park Avenue,4.5,338
50,"110th to 150th streets, New York City, NY",Description: Neighborhood covering the north section of Manhattan Island.,-999,40.809303,-73.94699,Harlem,4,880
51,"Wall Street, New York City, NY 10005","The financial heartbeat of the United States, Wall Street is home to the New York Stock Exchange, where visitors can witness the frenetic and wild pace of stock trading.    ",-999,40.70608,-74.00896,Wall Street,4,2240
52,"2 E 91st Street, New York City, NY 10128","Cooper Hewitt, Smithsonian Design Museum is the only museum in the United States devoted exclusively to historic and contemporary design. After a three-year renovation, the museum re-opened in December 2014 with exhibitions featuring a rich mix of design objects from our permanent collection, unique temporary installations, and dynamic interactive experiences. We also have an exciting calendar of events, including hands-on workshops, talks, and family programs.    ",-999,40.784454,-73.95798,"Cooper Hewitt, Smithsonian Design Museum",4.5,311
53,"Mulberry Street, New York City, NY 10013",Description: Neighborhood west of SoHo famous for Italian restaurants.,-999,40.71914,-73.99733,Little Italy,4,2645
54,"Mid-Central Park at 79th Street, New York City, NY","Originally built in 1869 as a lookout, this Rococo-style castle now houses the Henry Luce Nature Observatory and weather measuring devices.    ",-999,40.77943,-73.969086,Belvedere Castle,4,365
55,"1359 Ave of the Americas, New York City, NY",-999,-999,40.76305,-73.97821,Love Sculpture,4,420
56,"Fulton & South Streets, Pier 17, New York City, NY 10038",The shops and restaurants and historic ambiance have made this renovated port one of Manhattan's most visited spots.    ,Recommended length of visit: 1-2 hours   Fee: No,40.707138,-74.00217,South Street Seaport,4,731
57,"42nd Street, New York City, NY",-999,-999,40.758057,-73.98564,42nd Street,4.5,228
58,"New York City, NY","High-rent neighborhood of New York City located along one side of Central Park, which is predominately residential with town homes and apartment buildings along with pricey shops, restaurants, and architectural gems such as the Guggenheim Museum and the Cooper-Hewitt.    ",-999,40.774975,-73.955025,Upper East Side,4.5,189
59,"26 Wall Street, New York City, NY 10005-1996","Built in 1842 on the site of the first U.S. Capitol, this museum features items related to George Washington's inauguration, the Bill of Rights and old Federal Hall.    ",-999,40.707268,-74.01023,Federal Hall,4,243
60,"Broadway & 59th Street, New York City, NY 10019",-999,Recommended length of visit: <1 hour,40.768154,-73.98216,Columbus Circle,4,151
61,"New York City, NY",Description: This cobblestoned street is a designated historic district.,-999,40.70476,-74.01018,Stone Street Historic District,4.5,118
62,"26 Broadway, New York City, NY 10004",-999,-999,40.705826,-74.013115,Charging Bull (Wall Street Bull),3.5,1198
63,"New York City, NY",Fashionable neighborhood (so named because it is a TRIangle BElow CAnal Street) of homes and shops.    ,-999,40.718494,-74.0067,TriBeCa,4,226
64,"State Street at Pearl Street, Battery Park, New York City, NY 10004",-999,Recommended length of visit: 2-3 hours,40.702065,-74.01501,Sea Glass Carousel,4.5,110
65,"290 Vesey Street, New York City, NY 10281-1032",-999,-999,40.71474,-74.01602,Irish Hunger Memorial,4.5,160
66,"1657 Broadway, New York City, NY 10019-6700",-999,-999,40.76251,-73.98372,Times Square Church,4.5,116
67,"263 Mulberry St, New York City, NY 10012",-999,-999,40.75673,-73.98727,St. Patrick's Old Cathedral,4.5,166
68,"20 Broad St., New York City, NY 10005","The NYSE is a frantic, frenetic assemblage of traders, technology and tension.    ",-999,40.70742,-74.010666,New York Stock Exchange,3.5,383
69,"180 Greenwich St, New York City, NY 10007-0089",-999,Recommended length of visit: <1 hour,40.711773,-74.01312,World Trade Center Memorial Foundation,4.5,60
70,"100 Bedford St, Corner Grove, New York City, NY 10014-5304",-999,-999,40.73253,-74.00554,Friends Building,4,175
71,"725 Fifth Avenue, New York City, NY 10022-2519",-999,Recommended length of visit: <1 hour,40.762478,-73.97403,Trump Tower,3.5,417
72,"7th Ave & West 32nd St, New York City, NY 10001",-999,-999,40.75079,-73.99219,Pennsylvania Station,3.5,1031
73,"Canal Street to Bayard Street, New York City, NY",Chinese immigrants have brought their traditions and culture to this neighborhood in New York City's Lower East Side.    ,-999,40.718613,-73.99736,Chinatown,3.5,2919
74,"Broadway at south end of City Hall Park, New York City, NY",.   The downtown location for purchasing deeply discounted theater tickets. Open 7 days a week.    ,-999,40.71316,-74.006386,City Hall Park Visitor Information Center,4,142
75,"Brooklyn to Manhattan lower East Side, New York City, NY",-999,-999,40.708115,-73.95707,Williamsburg Bridge,4.5,114
76,"59th Street and York Avenue, New York City, NY",-999,-999,40.757767,-73.95681,Queensboro Bridge,4,188
77,"122nd St. And Riverside Dr, New York City, NY 10027","The final resting place of President Ulysses Simpson Grant and his wife, Julia, is the largest mausoleum in North America. It testifies to a people's gratitude for the man who ended the bloodiest conflict in American history as Commanding General of the Union Army and then, as President of the United States, strove to heal a nation after a civil war and make rights for all citizens a reality.    ",Recommended length of visit: 1-2 hours,40.813396,-73.96313,General Grant National Memorial,4,185
78,"Central Park, 85th Street to 96th Street, New York City, NY 10128",-999,Recommended length of visit: <1 hour,40.78378,-73.96387,Jacqueline Kennedy Onassis Reservoir,4.5,88
79,"1832 Madison Ave, New York City, NY 10035-2707",-999,-999,40.80248,-73.94365,Bethel Gospel Assembly,4.5,187
80,"278 Spring Street, New York City, NY 10013","The New York City Fire Museum is the official museum of the FDNY.Occupying a renovated 1904 Beaux‰ÛArts firehouse at 278 Spring Street in Hudson Square, west of SoHo, the museum is home to a renowned collection of fire‰Ûrelated art and artifacts from the 18th century to the present; including hand‰Ûpumped fire engines, horse‰Ûdrawn vehicles, early motorized apparatus and firefighting tools and equipment.    ",-999,40.725567,-74.006935,New York City Fire Museum,4.5,158
81,"1 West 72nd Street, New York City, NY 10023-3486",-999,-999,40.77578,-73.97608,The Dakota,4,274
82,"1 Herald Square, at 34th Street and Sixth Avenue, New York City, NY 10001-2902",-999,-999,40.75028,-73.98775,Herald Square,4,175
83,"New York City, NY",This section of Manhattan once inhabited by Jewish immigrants has undergone a rebirth in recent years.    ,-999,40.716007,-73.98303,Lower East Side,4,119
84,"Hudson River, Piers 59-62, between 17th and 23rd streets, New York City, NY 10011",-999,-999,40.74613,-74.00902,Chelsea Piers,4,171
85,"Duane and Elk Streets, next to 290 Broadway, New York City, NY",-999,-999,40.714703,-74.004326,African Burial Ground National Monument,4.5,88
86,"14 N Moore St, TriBeCa, New York City, NY 10013-2413",-999,-999,40.7198,-74.0066,GhostBusters Firestation,4,215
87,"59 W 44th St, New York, New York City, NY 10036-6638",-999,-999,40.75602,-73.982605,Algonquin Hotel,4,145
88,"179th Street and Riverside Drive, New York City, NY 10033",Description: Major bridge over the Hudson River that connects New York and New Jersey.   Major bridge over the Hudson River that connects New York and New Jersey.    ,-999,40.8518,-73.95308,George Washington Bridge,4,293
89,"54 Pearl St, New York City, NY 10004-4300",-999,-999,40.703434,-74.01129,Fraunces Tavern Museum,4.5,122
90,"Central Park Lake, (at 74th Street), New York City, NY 10021",-999,-999,40.77485,-73.96946,Loeb Boathouse,4,248
91,"414 W 141st St, At the intersection of Hamilton Terrace, New York City, NY 10031-9138","This national memorial managed by the National Park Service was the home of statesman and United States Founding Father Alexander Hamilton. Restored and reopened in 2011, the public can enjoy exhibits on some of Hamilton's achievements and challenges on the ground floor, a brief introductory film on his incredible rise from an orphan in the Caribbean to an indespensible molder of the early nation, and visit the furnished first floor by scheduled tour.    ",Recommended length of visit: 1-2 hours,40.82136,-73.94733,Hamilton Grange National Memorial,4.5,89
92,"Riverside Drive at 120th Street, 91 Claremont Ave, New York City, NY",This church has a bell tower with an observation deck offering terrific views.    ,-999,40.811695,-73.9626,Riverside Church,4.5,97
93,"111th St., Queens, NY, Flushing Meadows Corona Park, Queens, New York City, NY",-999,-999,40.744205,-73.85181,Unisphere,4.5,75
94,"Between Houston Street, Bowery, & 14th Street, New York City, NY",-999,Recommended length of visit: More than 3 hours,40.72411,-73.9926,East Village,4,83
95,"44 Maiden Lane, New York City, NY 10045","You can tour the trading rooms, the museum and the Fed's vault, which holds 900 tons of gold.    ",-999,40.708668,-74.009,Federal Reserve Bank of New York,4,200
96,"32nd Street, New York City, NY",-999,-999,40.747658,-73.986435,Koreatown,4,94
97,"28 East 20th Street, between Broadway and Park Avenue South, New York City, NY 10003","This park site is closed to the public as of May 1, 2015 to allow for renovation and accessibility improvements. Once begun, the project will take approximately nine months. The site is scheduled to reopen in 2016. The boyhood home (1858-1872) of the only United States President born in New York City. The site includes galleries and 1865 period rooms that relate the story of young Teddy Roosevelt, his ranch days, presidency and exploration period.    ",-999,40.738857,-73.98917,Theodore Roosevelt Birthplace National Historic Site,4.5,107
98,"New York City, NY","Transfers from John F. Kennedy, LaGuardia, Newark to Hotel. Outlets Jersey Gardens, Woodbury Outlets. Sightseeing in Portuguese or English in NYC, City Tour Manhattan and Walking tours.åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ     ",-999,40.756313,-73.98651,Brazil NY Tour,5,37
99,"1904 Surf Avenue, Located in Brooklyn, NY not New York City, NY, New York City, NY 11224",-999,-999,40.574806,-73.9845,Brooklyn Cyclones Baseball - MCU Park,4.5,51
100,"Fifth Avenue From 82nd to 105th Streets, New York City, NY",A 22-block stretch along Fifth Avenue that is filled with museums and other art institutions.    ,-999,40.774475,-73.96632,Museum Mile,4.5,38
101,"109 E. 50th St., at Park Ave., New York City, NY 10022",-999,-999,40.75747,-73.97372,St. Bartholomew's Church,4.5,58
102,"1697 Broadway, New York City, NY 10019",-999,-999,40.76391,-73.98285,Ed Sullivan Theater,4,62
103,"Upper East Side at 81st Street., Central Park, New York City, NY",-999,-999,40.779503,-73.965294,Cleopatra's Needle,4,63
104,"1912 Adam Clayton Powell Jr Blvd, New York City, NY 10026-2815",-999,-999,40.803127,-73.95307,First Corinthian Baptist Church,4,114
105,"New York City, NY",-999,-999,-999,-999,Central Park's Literary Walk,4.5,49
106,"6th Ave., and 49th and 50th Sts., New York City, NY",Description: Art Deco style abounds inside and out at the GE building.,-999,40.75944,-73.97922,General Electric Building,4.5,64
107,"70 Washington Square South, New York City, NY",-999,-999,40.72956,-73.99612,New York University,4,61
108,"1073 Avenue of the Americas, New York City, NY 10018-3701",-999,Recommended length of visit: 1-2 hours,40.75406,-73.98491,Kinokuniya Book Stores of America,4.5,49
109,"802 Broadway at 10th Street, New York City, NY 10003","Ornate and even a bit eerie, the neo-gothic Grace Church is nonetheless lovely.     ",-999,40.731846,-73.99133,Grace Church,4.5,43
110,"188 Grand St, New York City, NY 10013-3729",-999,Recommended length of visit: <1 hour,40.7195,-73.99709,Alleva Dairy,4.5,43
