address,category,latitude,longitude,number_of_price,number_of_review,restaurant_name,score_of_review
"338 Ave Of The AmericasNew York, NY 10014","FoodTrucks,Russian",40.731662,-74.000984,1,36,AntonÌÄåÎÌÄå_ÌÄåÎÌÄå£ÌÄåÎÌâå«ÌÄåÎ_ÌÄåÎÌÄå_ÌÄåÎÌâå¢ÌÄåÎÌâå«ÌÄå´Ìâå¢ÌÄåÎÌÄå_ÌÄåÎÌÄå£ÌÄåÎÌâå«ÌÄå´ÌâåÇÌÄåÎÌÄå_ÌÄåÎÌÄå£ÌÄåÎÌâå«ÌÄåÎÌâåÌÄåÎÌÄå_ÌÄåÎÌÄå£ÌÄåÎÌâå«ÌÄå´ÌâåÇÌÄåÎÌÄå_ÌÄåÎÌâå¢ÌÄåÎÌâå«ÌÄå´ÌÄåös Dumplings,4.5
"170 E 81st StNew York, NY 10028",Italian,40.775695,-73.9569,3,89,Antonucci Cafe,4
"210 Spring StreetNew York, NY 10012",Seafood,40.725308,-74.0038,3,1097,Aquagrill,4
"65 E 55th StNew York, NY 10022",Scandinavian,40.760858,-73.972,4,572,Aquavit,4
"160 Huron StBrooklyn, NY 11222","Bookstores,Venues&EventSpaces,Cafes",40.732848,-73.955151,1,15,Archestratus,5
"128 Central AveBrooklyn, NY 11221","Bars,Pizza",40.699718,-73.928499,2,141,ArchieÌÄåÎÌâå«ÌÄåÎ_ÌÄåÎÌÄå_ÌÄåÎÌâåÌÄåÎÌâå«ÌÄå´ÌÄåös Bar & Pizza,4.5
"510 W 52nd StNew York, NY 10019","WineBars,Tapas/SmallPlates",40.766083,-73.991458,2,293,Ardesia,4
"8424 3rd AveBrooklyn, NY 11209",Italian,40.624219,-74.0306,3,120,Areo Ristorante,3.5
"147 Ave ANew York, NY 10009","Venezuelan,Gluten-Free",40.727516,-73.9827,1,99,Arepa Factory,4
"147 Ave ANew York, NY 10009","Venezuelan,Gluten-Free",40.727516,-73.982741,1,99,Arepa Factory,4
"3307 36th AveAstoria, NY 11106","Venezuelan,Spanish,Gluten-Free",40.755755,-73.9277,2,685,Arepas Cafe,4
"3307 36th AveAstoria, NY 11106","Venezuelan,Spanish,Gluten-Free",40.755755,-73.927737,2,684,Arepas Cafe,4
"44 Irving AveBrooklyn, NY 11237","Salad,Empanadas,Venezuelan",40.704609,-73.924599,2,393,Arepera Guacuco,4
"77-02A Roosevelt AveJackson Heights, NY 11373",Colombian,40.746858,-73.8883,1,275,Areperia Arepa Lady,4.5
"160 E 46th StNew York, NY 10017","American(Traditional),Steakhouses",40.753359,-73.9732,3,156,Aretsky_ÌÄåÎÌâå«ÌÄåÎÌâå£ÌÄåÎÌâå«_s Patroon,4
"1032 Lexington AveNew York, NY 10021","Steakhouses,SushiBars,American(New)",40.771434,-73.9614,4,197,Arlington Club,3
"717 5th AveNew York, NY 10022",Italian,40.761846,-73.9742,3,143,Armani Ristorante,4
"7316 Northern BlvdJackson Heights, NY 11372",Italian,40.754557,-73.8931,3,21,Armondo_ÌÄåÎÌâå«ÌÄåÎÌâå£ÌÄåÎÌâå«_s Italian Restaurant,4
"1617 York AveNew York, NY 10028",Italian,40.775478,-73.9478,3,41,Arturo_ÌÄåÎÌâå«ÌÄåÎÌâå£ÌÄåÎÌâå«_s,4
"734 10th AveNew York, NY 10019","BeerBar,American(New)",40.764579,-73.991475,2,68,As Is NYC,4.5
"420 Park Ave SNew York, NY 10016","Italian,Breakfast&Brunch,CocktailBars",40.743899,-73.9841,3,298,Asellina,3.5
"415 Lafayette StNew York, NY 10003","Cuban,LatinAmerican,AsianFusion",40.728444,-73.9921,3,179,Asia de Cuba,4
"46 Mulberry StNew York, NY 10013","AsianFusion,Malaysian,Chinese",40.715027,-73.999363,1,68,Asian Spicy Curry Pop-up,4.5
"80 Columbus CirNew York, NY 10023",American(New),"40.76862,",-73.982,4,429,Asiate,4
"2 E 55th StNew York, NY 10022","TeaRooms,Desserts,Breakfast&Brunch",40.761397,-73.9746,4,25,Astor Court,3.5
"1801 26th RdAstoria, NY 11102","Bars,American(Traditional),Pizza",40.773273,-73.9272,2,66,Astoria Craft,4.5
"1801 26th RdAstoria, NY 11102","Bars,American(Traditional),Pizza",40.773273,-73.927252,2,66,Astoria Craft,4.5
"37-10 33rd StLong Island City, NY 11101","SeafoodMarkets,Seafood",40.754072,-73.9297,2,238,Astoria Seafood,4
"37-10 33rd StLong Island City, NY 11101","SeafoodMarkets,Seafood",40.754072,-73.92979,2,238,Astoria Seafood,4
"77 Worth StNew York, NY 10013",American(Traditional),40.716907,-74.0055,4,164,Atera,4.5
"49 W 64th StNew York, NY 10023","American(New),Seafood,SushiBars",40.772044,-73.9814,3,416,Atlantic Grill,4
"943 Coney Island AveBrooklyn, NY 11230","Steakhouses,Bars,American(New)",40.634446,-73.9669,3,56,Atlas Steakhouse,3.5
"43 E 28th StNew York, NY 10016","Korean,Tapas/SmallPlates,AsianFusion",40.743662,-73.9845,3,31,Atoboy,4
"102 North End AveNew York, NY 10282","Mediterranean,WineBars,American(New)",40.714995,-74.0152,3,57,Atrio Wine Bar & Restaurant,3.5
"15 Main StBrooklyn, NY 11201",American(Traditional),40.703552,-73.9906,2,367,Atrium Dumbo,4
"15 Main StBrooklyn, NY 11201",American(Traditional),40.703552,-73.9906,2,366,Atrium Dumbo,4
"791 Lexington AveNew York, NY 10065","American(Traditional),CocktailBars",40.763661,-73.9668,3,73,August,3.5
"5 Beekman StNew York, NY 10038","French,Brasseries",40.711194,-74.0069,2,7,Augustine,5
"151 Mulberry StreetNew York, NY 10013",Italian,40.719107,-73.9975,2,180,Aunt Jake_ÌÄåÎÌÄå_ÌÄå´Ìâå£_s,4
"151 Mulberry StreetNew York, NY 10013",Italian,40.719107,-73.9975,2,179,Aunt JakeÌÄåÎÌÄå__ÌÄåÎÌÄå__ÌÄåÎÌâå«ÌÄåÎÌÄå¦s,4
"151 Mulberry StreetNew York, NY 10013",Italian,40.719107,-73.9975,2,179,Aunt JakeÌÄåÎÌâå«_ÌÄåÎÌâå«ÌÄåÎÌÄåÓÌÄåÎÌÄå_ÌÄåÎÌâå_s,4
"108 W 14th StNew York, NY 10011","Chinese,AsianFusion",40.737721,-73.9974,2,152,Auntie Guan_ÌÄåÎÌÄå_ÌÄå´Ìâå£_s Kitchen 108,4
"135 W 42nd StNew York, NY 10036",American(New),40.755587,-73.9852,4,654,Aureole,4
"70 Grand StBrooklyn, NY 11211","Italian,Breakfast&Brunch",40.716054,-73.9647,2,418,Aurora,4
"510 Broome StNew York, NY 10013","Italian,Breakfast&Brunch",40.723543,-74.0031,3,299,Aurora Soho,4
"130 E 7th StNew York, NY 10009","American(New),Vegan,Vegetarian",40.726111,-73.9839,3,108,Avant Garden,4.5
"141 E 48th StNew York, NY 10017","Seafood,Greek,Mediterranean",40.755117,-73.9725,3,629,Avra Estiatorio,4
"14 E 60th StNew York, NY 10022","Greek,Seafood,Mediterranean",40.76432,-73.9717,4,23,Avra Madison,4
"336 Graham AveBrooklyn, NY 11211","American(New),Gluten-Free,Vegetarian",40.714268,-73.944,2,142,AWOL Eatery,4.5
"2 Saint Marks PlNew York, NY 10003",Greek,40.729342,-73.9897,2,32,Ayios Greek Rotisserie,4.5
"2 Saint Marks PlNew York, NY 10003",Greek,40.729342,-73.989791,2,32,Ayios Greek Rotisserie,4.5
"224 W 51st StNew York, NY 10019",Italian,40.762313,-73.9848,3,144,Azalea Ristorante,4
"49 Clinton StNew York, NY 10002","Japanese,Sandwiches,CocktailBars",40.719758,-73.985011,2,61,Azasu,4.5
"465 West 51st StNew York, NY 10019","MiddleEastern,Kosher",40.765138,-73.990896,1,243,Azuri Cafe,4
"370 W 51st StNew York, NY 10019","Pizza,Italian,Tapas/SmallPlates",40.7639,-73.988302,2,506,B Side Pizza & Wine Bar,4.5
"679 9th AveNew York, NY 10036","Italian,Pizza",40.761553,-73.9906,2,113,B Squared,4.5
"165 W 26th StNew York, NY 10001",African,40.745956,-73.993581,1,84,B&B Restaurant Corp,4.5
"271 W 119th StNew York, NY 10026",Seafood,40.806208,-73.9532,2,30,B2 Harlem,4.5
"4222 8th AveBrooklyn, NY 11232","Vietnamese,Sandwiches",40.645229,-73.9996,1,496,Ba Xuyen,4.5
"222 Lafayette StNew York, NY 10012","Vietnamese,Breakfast&Brunch,French",40.721992,-73.9975,2,242,BÌÄåÎÌÄå_ÌÄå´Ìâå_ CÌÄåÎÌÄå_ÌÄå´Ìâå_ PhÌÄåÎÌÄå_ÌÄå´Ìâå_,4
"239 West BroadwayNew York, NY 10013","ModernEuropean,American(New),French",40.719553,-74.0057,4,176,BÌÄåÎÌÄå_ÌÄå´Ìâå«ÌÄåÎÌâå«ÌÄå´Ìâå¢tard,4
"110 Waverly PlNew York, NY 10011","Italian,Bars",40.732283,-73.9992,4,2006,Babbo,4
"175 Ave BNew York, NY 10009","Indian,Pakistani",40.727477,-73.9791,3,301,Babu Ji,3.5
"136 Division StNew York, NY 10002",Italian,40.714531,-73.9915,3,336,Bacaro,4
"409-411 Atlantic AveBrooklyn, NY 11217",French,"40.68701,",-73.984227,2,316,Bacchus Bistrot a Vins,4
"1 Little W 12th StNew York, NY 10014","French,Lounges",40.739672,-74.006,4,324,Bagatelle,3
"259 Bleecker StNew York, NY 10014","Italian,Breakfast&Brunch,WineBars",40.731342,-74.002899,2,394,Baker & Co,4
"627 E 6th StNew York, NY 10009","Coffee&Tea,Bakeries,Sandwiches",40.724014,-73.9801,1,8,Bakerita,4.5
"627 E 6th StNew York, NY 10009","Coffee&Tea,Bakeries,Sandwiches",40.724014,-73.980159,1,8,Bakerita,4.5
"214 Mulberry StNew York, NY 10012",Mediterranean,40.7222,-73.996,3,505,Balaboosta,4
"144 West 37th StNew York, NY 10018","Lebanese,Mediterranean",40.752442,-73.9887,2,67,Balade - Your Way,4.5
"144 West 37th StNew York, NY 10018","Lebanese,Mediterranean",40.752442,-73.9887,2,68,Balade - Your Way,4.5
"144 West 37th StNew York, NY 10018","Lebanese,Mediterranean",40.752442,-73.988711,2,68,Balade - Your Way,4.5
"80 Spring StNew York, NY 10012","French,Breakfast&Brunch",40.72273,-73.9983,3,2343,Balthazar Restaurant,4
"152 Stanton StNew York, NY 10002",Argentine,40.720622,-73.9853,3,133,Balvanera,4.5
"202 Mott StNew York, NY 10012","Mediterranean,Tapas/SmallPlates,WineBars",40.721388,-73.9954,2,202,Balzem,4
"198 Grand StNew York, NY 10013","Vietnamese,Sandwiches",40.71935,-73.9966,1,1211,Banh Mi Saigon,4
"443 E 6th StNew York, NY 10009","Vietnamese,Sandwiches",40.725686,-73.984257,1,243,Banh Mi Zon,4.5
"172 Bedford AveBrooklyn, NY 11249","Vietnamese,Coffee&Tea",40.718213,-73.9576,1,7,Banhdega,3.5
"172 Bedford AveBrooklyn, NY 11249","Vietnamese,Coffee&Tea",40.718213,-73.957633,1,7,Banhdega,3.5
"61 Lexington AveNew York, NY 10010","Cafes,AsianFusion,Ramen",40.740862,-73.9835,1,181,Bao Bao Cafe,4
"61 Lexington AveNew York, NY 10010","Cafes,AsianFusion,Ramen",40.740862,-73.983511,1,181,Bao Bao Cafe,4
"222 Lafayette StNew York, NY 10012","Vietnamese,Breakfast&Brunch,French",40.721992,-73.997572,2,242,BÌÄåÎÌÄå_ÌÄåÎ__ CÌÄåÎÌÄå_ÌÄåÎ_ÌÄåÎÌÄå__ PhÌÄåÎÌÄå_ÌÄåÎ_ÌÄåÎÌâå«ÌÄåÎÌÄå¦,4
"238 E 14th StNew York, NY 10003","Chinese,Taiwanese",40.732469,-73.985713,1,1443,BaoHaus,3.5
"152 W 52nd StNew York, NY 10019","American(New),Bars",40.761776,-73.9817,3,1212,Bar Americain,3.5
"84 7th AveNew York, NY 10011","Italian,Bars,TapasBars",40.739407,-73.999,2,84,Bar B,4.5
"836 9th AveNew York, NY 10019",Gastropubs,40.766435,-73.986764,2,692,Bar Bacon,4
"88 Thomas StNew York, NY 10013","CocktailBars,Italian,Pizza",40.717331,-74.0085,2,78,Bar Cyrk,4
"88 Thomas StNew York, NY 10013","CocktailBars,Italian,Pizza",40.717331,-74.008533,2,78,Bar Cyrk,4
"245 Eldridge StNew York, NY 10002","CocktailBars,Japanese","40.72277,",-73.9898,2,99,Bar Goto,4.5
"768 Madison AveManhattan, NY 10065",Italian,40.76795,-73.9685,3,84,Bar Italia Madison,3.5
"125 E 17th StNew York, NY 10003","Spanish,TapasBars",40.73587,-73.987,3,250,Bar JamÌÄåÎÌÄå_ÌÄå´Ìâå_n,4
"10 Columbus CirNew York, NY 10019",Japanese,40.768559,-73.983,4,145,Bar Masa,3.5
"20 E 76th StNew York, NY 10021","Cafes,CocktailBars",40.774462,-73.9639,3,62,Bar Pleiades,4.5
"183 W 10th StNew York, NY 10014","American(New),CocktailBars",40.734391,-74.0027,2,112,Bar Sardine,4
"183 W 10th StNew York, NY 10014","American(New),CocktailBars",40.734391,-74.002708,2,112,Bar Sardine,4
"225-227 Front StNew York, NY 10038",Italian,40.707474,-74.002,2,148,Barbalu Restaurant,4
"781 Franklin AveBrooklyn, NY 11238","Pizza,Bars",40.672069,-73.9572,2,650,Barboncino,4.5
"250 Park Ave SNew York, NY 10003","Greek,Mediterranean,Breakfast&Brunch",40.738251,-73.9881,3,883,Barbounia,3.5
"775 Washington StNew York, NY 10014","Italian,American(New)",40.73772,-74.008,3,692,Barbuto,4
"103 West 14th StNew York, NY 10011",Burgers,40.737834,-73.9972,2,3,Bareburger,3.5
"366 W 46th St.New York, NY 10036","Burgers,Salad,American(Traditional)",40.760558,-73.990357,2,515,Bareburger,4
"11-11 44th RdLong Island City, NY 11101","Coffee&Tea,Breakfast&Brunch",40.749203,-73.948907,1,22,Barista Panini House,4.5
"893 BroadwayNew York, NY 10003","Korean,Gastropubs,AsianFusion",40.738841,-73.99,2,872,Barn Joo,4
"34 W 35th StNew York, NY 10001","Korean,Gastropubs,Tapas/SmallPlates",40.749652,-73.9858,2,254,Barn Joo 35,4.5
"564 Dekalb AveBrooklyn, NY 11205","American(New),Bars,Seafood",40.690811,-73.9539,2,56,Baron_ÌÄåÎÌâå«ÌÄåÎÌâå£ÌÄåÎÌâå«_s,4.5
"564 Dekalb AveBrooklyn, NY 11205","American(New),Bars,Seafood",40.690811,-73.9539,2,56,BaronÌÄåÎÌÄå__ÌÄåÎÌÄå__ÌÄåÎÌâå«ÌÄåÎÌÄå¦s,4.5
"564 Dekalb AveBrooklyn, NY 11205","American(New),Bars,Seafood",40.690811,-73.9539,2,56,BaronÌÄåÎÌâå«_ÌÄåÎÌâå«ÌÄåÎÌÄåÓÌÄåÎÌÄå_ÌÄåÎÌâå_s,4.5
"47 8th AveNew York, NY 10014","Spanish,CocktailBars,Mexican",40.738543,-74.004034,2,286,Barrio 47,4
"253 Broome StNew York, NY 10002","Mexican,Bars",40.718022,-73.99,2,934,Barrio Chino,4
"253 Broome StNew York, NY 10002","Mexican,Bars",40.718022,-73.99,2,935,Barrio Chino,4
"1728 2nd AveNew York, NY 10128",Pizza,40.780162,-73.949737,2,4,Basile Pizza,4
"234 W 56th StNew York, NY 10019",Italian,40.765536,-73.9826,3,457,Basso56,4
"62 Chelsea PiersNew York, NY 10011","BoatCharters,Restaurants,Venues&EventSpaces",40.748272,-74.0085,4,169,Bateaux New York,4
"255 Smith StBrooklyn, NY 11231",American(New),40.68312,-73.9926,3,268,Battersby,4
"1 Battery ParkNew York, NY 10011","Venues&EventSpaces,American(New)",40.701448,-74.015,3,188,Battery Gardens,3.5
"5W 32nd StNew York, NY 10001",Korean,40.747503,-73.9862,2,1168,BCD Tofu House,4
"5W 32nd StNew York, NY 10001",Korean,40.747503,-73.9862,2,1169,BCD Tofu House,4
"5W 32nd StNew York, NY 10001",Korean,40.747503,-73.986244,2,1169,BCD Tofu House,4
"403 W 43rd StNew York, NY 10036","American(New),CocktailBars,Breakfast&Brunch",40.759196,-73.9923,2,1004,Bea,4
"1651 Lexington AveNew York, NY 10029","Pizza,Coffee&Tea,Cafes",40.790956,-73.94699,2,4,Bean Y Vino,5
"151 Atlantic AveBrooklyn, NY 11201","American(New),French,WineBars",40.690649,-73.995,3,55,Beasts & Bottles,4
"225 Liberty StNew York, NY 10281",French,40.711983,-74.0152,3,145,Beaubourg,2.5
"146 Essex StNew York, NY 10002","Bars,American(New),Tapas/SmallPlates",40.720406,-73.9868,3,2236,Beauty & Essex,4
"118 E 40th StNew York, NY 10016","American(New),Desserts,Breakfast&Brunch",40.750189,-73.9775,3,29,Bedford,4
"405 Atlantic AveBrooklyn, NY 11217",MiddleEastern,40.686976,-73.9843,1,463,Bedouin Tent Restaurant,4
"182 S 2nd StBrooklyn, NY 11211","Southern,Cajun/Creole,Breakfast&Brunch",40.712567,-73.9604,2,475,BeeHive Oven Biscuit Cafe,4.5
"141 W 10th StNew York, NY 10014","American(New),Bars",40.734752,-74.0009,3,181,Bell Book & Candle,4
"257 7th AveNew York, NY 10001","Italian,Pizza",40.745065,-73.99462,1,141,Bella Napoli,3.5
"305 Church StNew York, NY 10013","Bars,American(New),MusicVenues",40.719573,-74.0039,2,70,Belle Reve,4
"863 9th AveNew York, NY 10019","Italian,ComfortFood,WineBars",40.767623,-73.9865,3,124,Bello Restaurant,3.5
"339-A 2nd StBrooklyn, NY 11215","Steakhouses,American(New)",40.673888,-73.983,3,381,Benchmark,3.5
"108 E 4th StNew York, NY 10003",Japanese,40.725499,-73.9883,2,153,Benemon,4.5
"108 E 4th StNew York, NY 10003",Japanese,40.725499,-73.9883,2,154,Benemon,4.5
"174 Mulberry StNew York, NY 10013",Italian,40.719987,-73.9969,2,365,Benito One,4
"52 E 41st StNew York, NY 10017","Steakhouses,Seafood","40.7518, ",-73.9789,4,697,Benjamin Steakhouse,4
"346 Graham AveBrooklyn, NY 11211","SushiBars,Korean,AsianFusion",40.714735,-73.9441,1,16,Bentou Cafe,5
"346 Graham AveBrooklyn, NY 11211","SushiBars,Korean,AsianFusion",40.714735,-73.944126,1,16,Bentou Cafe,5
"754 5th AveNew York, NY 10019","American(New),TeaRooms",40.763506,-73.9742,3,245,Bergdorf Goodman Restaurant,4
"64 Cooper SqNew York, NY 10003","CocktailBars,Seafood",40.729508,-73.9911,3,182,Bergen Hill,4.5
"615 1/2 Hudson StNew York, NY 10014",American(New),40.737897,-74.0059,3,127,Bespoke Kitchen,4
"5 Bleecker StNew York, NY 10012",Japanese,"40.72551,",-73.9926,2,23,Bessou,4.5
"5 Bleecker StNew York, NY 10012",Japanese,"40.72551,",-73.9926,2,24,Bessou,4.5
"41 W 57th StNew York, NY 10019",American(New),40.764196,-73.9762,4,345,Betony,4
"20A E 40th StNew York, NY 10016",Cafes,40.751621,-73.9807,2,63,Between the Bread Eatery - Bryant Park,4.5
"157 2nd AveNew York, NY 10003","Chinese,Noodles",40.729582,-73.9871,2,152,Biang!,4
"67 Mott StNew York, NY 10013",Chinese,40.716238,-73.9984,1,1112,Big Wong,3.5
"57 E 54th StNew York, NY 10022","American(New),Salad,Sandwiches",40.760282,-73.9729,3,32,Bill_ÌÄåÎÌâå«ÌÄåÎÌâå£ÌÄåÎÌâå«_s Townhouse,4.5
"1233 Bay StStaten Island, NY 10305","Italian,CocktailBars",40.613335,-74.0652,3,119,Bin 5,4.5
"666 Harbor RdStaten Island, NY 10303",HotDogs,40.626545,-74.1604,4,3,Bingo_ÌÄåÎÌÄå_ÌÄåÎÌÄåÒÌÄåÎÌÄå_ÌÄå´Ìâå©s Barn Grill,4.5
