,Unnamed: 0,address,description,detail,lat,lng,name,rating,total_review
29,25,"West 4th Street, Greenwich Village, New York City, NY 10001","A 9.75-acre city park in Greenwich Village, characterized by its large, central fountain, and known as a major center of community activity for the neighborhood residents.    ",-999,40.730846,-73.99752,Washington Square Park,4.5,2287
30,12,"99 Gansevoort Street, New York City, NY 10014","The Whitney Museum of American Art, founded in 1930 by the artist and philanthropist Gertrude Vanderbilt Whitney, houses the foremost collection of American art from the twentieth and twenty-first centuries. Mrs. Whitney, an early and ardent supporter of modern American art, nurtured groundbreaking artists at a time when audiences were still largely preoccupied with the Old Masters. From her vision arose the Whitney Museum of American Art, which has been championing the most innovative art of the United States for more than eighty years. The core of the Whitney's mission is to collect, preserve, interpret, and exhibit American art of our time and serve a wide variety of audiences in celebration of the complexity and diversity of art and culture in the United States. Through this mission and a steadfast commitment to artists themselves, the Whitney has long been a powerful force in support of modern and contemporary art and continues to help define what is innovative and influential in American art today.    ",Recommended length of visit: 1-2 hours,40.73942,-74.00842,Whitney Museum of American Art,4.5,2090
31,30,"175 Fifth Ave., At 23rd St., New York City, NY 10010","This Daniel Burnham design got its moniker because, as you might guess, it resembles an iron.    ",-999,40.741054999999996,-73.98971,Flatiron Building,4.5,2081
32,27,"405 Lexington and 42nd St., New York City, NY 10174",This Art Deco masterpiece is actually no longer the property of the auto manufacturer.    ,-999,40.75162,-73.9755,Chrysler Building,4.5,2075
33,13,"Battery Park and Liberty Island, New York City, NY 10017",-999,-999,40.699055,-74.03969000000001,Ellis Island Immigration Museum,4.5,1950
34,20,"225 Madison Avenue at 36th Street, New York City, NY 10016","Just a short walk from Grand Central and Penn Station, the Morgan is a major exhibition venue for fine art, literature, and music, one of New York's great historic sites, and a wonderful place to dine, shop, and attend a concert or film.    ",Recommended length of visit: 1-2 hours,40.748928,-73.9813,The Morgan Library & Museum,4.5,1188
35,22,"New York City, NY",-999,-999,40.73469,-74.00541,West Village,4.5,1088
36,28,"1047 Amsterdam Ave., New York City, NY 10025","Description: This cathedral, the world's largest, is entirely hand-crafted.",Recommended length of visit: <1 hour,40.8039,-73.96301,Cathedral Church of Saint John the Divine,4.5,1072
37,14,"1048 5th Ave, New York City, NY 10028-0111",A museum displaying works of art by German and Austrian artists and designers.    ,-999,40.78143,-73.9604,Neue Galerie,4.5,1035
38,15,"234 W. 42nd Street, New York City, NY 10036","Get your selfie sticks ready! Madame Tussauds in Times Square is the only place with no ropes or barriers holding you back from getting photos with your favorite stars! Voted as one of New York's most unique attractions, Madame Tussauds invites you to pose with over 200 figures of internationally renowned musicians, A-list stars, sports legends, world leaders, super heroes and more. With several newly renovated spaces, the world famous wax attraction is bigger and better than ever!    ",Recommended length of visit: 1-2 hours,40.75683,-73.98863,Madame Tussauds New York,4.0,5965
39,53,"Mulberry Street, New York City, NY 10013",Description: Neighborhood west of SoHo famous for Italian restaurants.,-999,40.71914,-73.99733,Little Italy,4.0,2645
40,51,"Wall Street, New York City, NY 10005","The financial heartbeat of the United States, Wall Street is home to the New York Stock Exchange, where visitors can witness the frenetic and wild pace of stock trading.    ",-999,40.70608,-74.00896,Wall Street,4.0,2240
41,45,"W. Park Dr. and W. 72nd St., Central Park, New York City, NY",-999,-999,40.775677,-73.97531,"Strawberry Fields, John Lennon Memorial",4.0,1277
42,47,"405 East 42nd Street, 1st Avenue, New York City, NY 10017","Visitors can learn about the UN's peacekeeping and humanitarian efforts by touring the complex, even when it is in session. Important notice: Because of the new public access regulations and limitations starting June 2013, please also note that tour tickets will NOT be sold on premises and a guided tour ticket for visitors is required to enter the UN Headquarters.    ",-999,40.75055,-73.968414,United Nations Headquarters,4.0,1168
43,42,"14th-17th Street, (Broadway and Park), New York City, NY 10001","Union Square has a year-round greenmarket, where you can sample goods from local farmers. It also has several playgrounds, a lively holiday market, and benches where you can watch a slice of New York go by.    ",Recommended length of visit: More than 3 hours   Fee: No,40.735935,-73.99035,Union Square,4.0,1024
44,21,"1071 Fifth Ave. at 89th St., New York City, NY 10128",The circular Frank Lloyd Wright-designed building is as much of a draw as the museum's collection of modern art.    ,-999,40.783028,-73.959335,Solomon R. Guggenheim Museum,3.5,3828
45,73,"Canal Street to Bayard Street, New York City, NY",Chinese immigrants have brought their traditions and culture to this neighborhood in New York City's Lower East Side.    ,-999,40.718613,-73.99736,Chinatown,3.5,2919
46,62,"26 Broadway, New York City, NY 10004",-999,-999,40.705826,-74.013115,Charging Bull (Wall Street Bull),3.5,1198
47,72,"7th Ave & West 32nd St, New York City, NY 10001",-999,-999,40.75079,-73.99219000000001,Pennsylvania Station,3.5,1031
